English,繁中,简中,Deutsch,Русский,Français,日本語,한국어,Español,Português,العربية,українська
Arial,微軟正黑體,SimSun,Arial,Arial Narrow,Arial,微軟正黑體,Dotum,Arial,Arial,Arial Unicode MS,Myriad Pro
12,12,11,12,11,12,12,12,12,12,12,12
Turn Off,,,,,,,,,,,
Main Menu,,,,,,,,,,,
Exit,退出,退出,Verlassen,Выход,Quitter,出る,나가기,Salir,Saída,خروج,Вихід
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Style 1,樣式1,样式1,Stil 1,Стиль 1,Style 1,スタイル 1,스타일1,Estilo 1,Estilo 1,أسلوب 1,Стиль 1
Style 2,樣式2,样式2,Stil 2,Стиль 2,Style 2,スタイル 2,스타일2,Estilo 2,Estilo 2,أسلوب 2,Стиль 2
Style 3,樣式3,样式3,Stil 3,Стиль 3,Style 3,スタイル 3,스타일3,Estilo 3,Estilo 3,أسلوب 3,Стиль 3
Style 4,樣式4,样式4,Stil 4,Стиль 4,Style 4,スタイル 4,스타일4,Estilo 4,Estilo 4,أسلوب 4,Стиль 4
GameAssist,遊戲輔助工具,游戏辅助工具,Spielassistent,Игровой ассистент,Assistance en jeu,ゲームアシスト,게임보조기능,Asistente de juego,GameAssist,أدوات مساعدة للألعاب,Ігровий помічник
GAME INFO,GAME情報,GAME情报,GAME Info,Информация GAME,Infos GAME,GAME情報,GAME 정보,Información GAME,Informações GAME,GAME معلومات ,Ігрова інформація
Game Timer,,,,,,,,,,,
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Count Up,正數計時,正数计时,Hochzählen,Прямой счет,Compter,カウントアップ,카운트 업,Cuenta progresiva,Crescente,عد تصاعدى,Прямий рахунок
Count Down,倒數計時,倒数计时,Runterzählen,Обратный счет,Compter à rebours,カウントダウン,카운트 다운,Cuenta regresiva,Decrescente,عد تنازلى,Зворотнiй рахунок
